gender,age_range,country,acct_age_weeks,user_id
female,0 - 17,US,51,e5ca505412ed42099b29f421cf1efbf1
female,0 - 17,US,114,b1537158a8fa4484b3e928e407096839
female,45 - 54,NZ,43,b7b7e163b5e54531a73fded21cff4fbc
female,25 - 29,NZ,176,c42ecb4ac95b45edaea05a4a2cd0d967
male,30 - 34,US,221,26981d95b1e94f2d93c4c7c5573aafd2
male,30 - 34,NL,18,529c40da625f49c48fd17ff7454e3a2a
male,45 - 54,NO,334,7a7f5c9f9add465f89835844cf30059b
male,18 - 24,IT,0,9268061af795421caa7d847020acbb58
male,55+,US,1,107515883dff4c09876c7a3374f1a2ee
male,25 - 29,NL,260,06e1f3787dfc437bb2f29674f448e329
male,18 - 24,US,56,e7fed5baf2bc47babf688ffee53d1962
female,25 - 29,MX,6,9dd34273e24347088596baac1d39cba3
male,35 - 44,LT,45,6174bce232514dfd80875e015bcd75f5
female,25 - 29,ES,25,18b9eb980af04cc281c116a7972f7706
male,18 - 24,ES,106,30a875368d954f5399e624d340e51333
male,18 - 24,US,20,88b4c8ed30734d0682a933014576ebb4
female,35 - 44,FI,180,8ff1a6ef90374ca694bc7684b5bb5895
male,25 - 29,MX,45,9bf810904baf42f39e6c620895179f82
male,35 - 44,SE,126,03beb9e061a04ce78daf0966525737df
male,45 - 54,TR,3,08db0fcae6f84563aff25bbfb8c68158
male,45 - 54,UY,56,a27c11e13bc74b48a6a752f21e966730
female,30 - 34,SE,245,06f66b71b0734a96b980659507be8c65
female,18 - 24,US,3,1e962bfd7a324c239a87c28ffc0794d7
